Time period;Average power, day;Average power, night;Average power;Temperature
9.1. 22:00:00;;3,590;3,590;
9.1. 23:00:00;;3,330;3,330;
10.1. 00:00:00;;2,160;2,160;1,2
10.1. 01:00:00;;2,790;2,790;
10.1. 02:00:00;;3,260;3,260;
10.1. 03:00:00;;2,320;2,320;
10.1. 04:00:00;;1,730;1,730;
10.1. 05:00:00;;1,310;1,310;
10.1. 06:00:00;;2,760;2,760;
10.1. 07:00:00;2,750;;2,750;
10.1. 08:00:00;2,050;;2,050;
10.1. 09:00:00;1,610;;1,610;
10.1. 10:00:00;2,410;;2,410;
10.1. 11:00:00;2,470;;2,470;
10.1. 12:00:00;3,550;;3,550;
10.1. 13:00:00;3,210;;3,210;
10.1. 14:00:00;1,860;;1,860;
10.1. 15:00:00;1,840;;1,840;
10.1. 16:00:00;2,730;;2,730;
10.1. 17:00:00;2,440;;2,440;
10.1. 18:00:00;2,050;;2,050;
10.1. 19:00:00;1,750;;1,750;
10.1. 20:00:00;2,010;;2,010;
10.1. 21:00:00;2,030;;2,030;
10.1. 22:00:00;;2,450;2,450;
10.1. 23:00:00;;2,670;2,670;
11.1. 00:00:00;;2,120;2,120;-1,3
11.1. 01:00:00;;2,530;2,530;
11.1. 02:00:00;;3,910;3,910;
11.1. 03:00:00;;2,950;2,950;
11.1. 04:00:00;;1,590;1,590;
11.1. 05:00:00;;1,810;1,810;
11.1. 06:00:00;;2,580;2,580;
11.1. 07:00:00;2,020;;2,020;
11.1. 08:00:00;1,500;;1,500;
11.1. 09:00:00;1,490;;1,490;
11.1. 10:00:00;1,550;;1,550;
11.1. 11:00:00;2,190;;2,190;
11.1. 12:00:00;2,630;;2,630;
11.1. 13:00:00;2,020;;2,020;
11.1. 14:00:00;1,880;;1,880;
11.1. 15:00:00;2,910;;2,910;
11.1. 16:00:00;2,340;;2,340;
11.1. 17:00:00;2,100;;2,100;
11.1. 18:00:00;2,380;;2,380;
11.1. 19:00:00;2,150;;2,150;
11.1. 20:00:00;2,110;;2,110;
11.1. 21:00:00;3,070;;3,070;
11.1. 22:00:00;;3,860;3,860;
11.1. 23:00:00;;5,840;5,840;
12.1. 00:00:00;;4,130;4,130;-3,7
12.1. 01:00:00;;3,750;3,750;
12.1. 02:00:00;;2,880;2,880;
12.1. 03:00:00;;2,150;2,150;
12.1. 04:00:00;;2,170;2,170;
12.1. 05:00:00;;3,630;3,630;
12.1. 06:00:00;;2,900;2,900;
12.1. 07:00:00;2,530;;2,530;
12.1. 08:00:00;2,910;;2,910;
12.1. 09:00:00;2,840;;2,840;
12.1. 10:00:00;2,420;;2,420;
12.1. 11:00:00;1,770;;1,770;
12.1. 12:00:00;1,930;;1,930;
12.1. 13:00:00;2,080;;2,080;
12.1. 14:00:00;3,100;;3,100;
12.1. 15:00:00;2,770;;2,770;
12.1. 16:00:00;2,810;;2,810;
12.1. 17:00:00;2,540;;2,540;
12.1. 18:00:00;3,100;;3,100;
12.1. 19:00:00;2,830;;2,830;
12.1. 20:00:00;2,020;;2,020;
12.1. 21:00:00;2,060;;2,060;
12.1. 22:00:00;;3,500;3,500;
12.1. 23:00:00;;6,230;6,230;
13.1. 00:00:00;;4,280;4,280;-0,7
13.1. 01:00:00;;4,030;4,030;
13.1. 02:00:00;;4,120;4,120;
13.1. 03:00:00;;4,190;4,190;
13.1. 04:00:00;;3,940;3,940;
13.1. 05:00:00;;2,600;2,600;
13.1. 06:00:00;;2,000;2,000;
13.1. 07:00:00;2,490;;2,490;
13.1. 08:00:00;2,170;;2,170;
13.1. 09:00:00;1,790;;1,790;
13.1. 10:00:00;2,020;;2,020;
13.1. 11:00:00;2,810;;2,810;
13.1. 12:00:00;3,390;;3,390;
13.1. 13:00:00;2,740;;2,740;
13.1. 14:00:00;1,690;;1,690;
13.1. 15:00:00;1,900;;1,900;
