Time period;Average power, day;Average power, night;Average power;Temperature
11.1. 11:00:00;2,940;;2,940;
11.1. 12:00:00;4,080;;4,080;
11.1. 13:00:00;3,510;;3,510;
11.1. 14:00:00;3,860;;3,860;
11.1. 15:00:00;4,400;;4,400;
11.1. 16:00:00;4,060;;4,060;
11.1. 17:00:00;2,630;;2,630;
11.1. 18:00:00;3,620;;3,620;
11.1. 19:00:00;3,150;;3,150;
11.1. 20:00:00;3,200;;3,200;
11.1. 21:00:00;3,000;;3,000;
11.1. 22:00:00;;6,230;6,230;
11.1. 23:00:00;;6,960;6,960;
12.1. 00:00:00;;6,470;6,470;-9,3
12.1. 01:00:00;;5,220;5,220;
12.1. 02:00:00;;2,820;2,820;
12.1. 03:00:00;;3,960;3,960;
12.1. 04:00:00;;3,620;3,620;
12.1. 05:00:00;;3,990;3,990;
12.1. 06:00:00;;4,230;4,230;
12.1. 07:00:00;3,770;;3,770;
12.1. 08:00:00;3,200;;3,200;
12.1. 09:00:00;3,080;;3,080;
12.1. 10:00:00;2,090;;2,090;
12.1. 11:00:00;1,890;;1,890;
12.1. 12:00:00;2,310;;2,310;
12.1. 13:00:00;2,430;;2,430;
12.1. 14:00:00;3,050;;3,050;
12.1. 15:00:00;3,360;;3,360;
12.1. 16:00:00;3,440;;3,440;
12.1. 17:00:00;4,020;;4,020;
12.1. 18:00:00;2,280;;2,280;
12.1. 19:00:00;2,470;;2,470;
12.1. 20:00:00;2,770;;2,770;
12.1. 21:00:00;2,680;;2,680;
12.1. 22:00:00;;6,140;6,140;
12.1. 23:00:00;;6,970;6,970;
13.1. 00:00:00;;6,330;6,330;-11,1
13.1. 01:00:00;;4,950;4,950;
13.1. 02:00:00;;3,060;3,060;
13.1. 03:00:00;;2,480;2,480;
13.1. 04:00:00;;3,680;3,680;
13.1. 05:00:00;;3,150;3,150;
13.1. 06:00:00;;4,270;4,270;
13.1. 07:00:00;3,450;;3,450;
13.1. 08:00:00;3,270;;3,270;
13.1. 09:00:00;3,550;;3,550;
13.1. 10:00:00;3,470;;3,470;
13.1. 11:00:00;2,670;;2,670;
13.1. 12:00:00;2,330;;2,330;
13.1. 13:00:00;2,510;;2,510;
13.1. 14:00:00;3,060;;3,060;
13.1. 15:00:00;3,410;;3,410;
13.1. 16:00:00;3,620;;3,620;
13.1. 17:00:00;3,930;;3,930;
13.1. 18:00:00;3,820;;3,820;
13.1. 19:00:00;3,640;;3,640;
13.1. 20:00:00;2,610;;2,610;
13.1. 21:00:00;1,610;;1,610;
13.1. 22:00:00;;6,100;6,100;
13.1. 23:00:00;;7,120;7,120;
14.1. 00:00:00;;7,200;7,200;-13
14.1. 01:00:00;;6,470;6,470;
14.1. 02:00:00;;5,620;5,620;
14.1. 03:00:00;;4,780;4,780;
14.1. 04:00:00;;4,130;4,130;
14.1. 05:00:00;;3,400;3,400;
14.1. 06:00:00;;3,030;3,030;
14.1. 07:00:00;3,880;;3,880;
14.1. 08:00:00;3,540;;3,540;
14.1. 09:00:00;3,390;;3,390;
14.1. 10:00:00;3,260;;3,260;
14.1. 11:00:00;3,320;;3,320;
14.1. 12:00:00;3,340;;3,340;
14.1. 13:00:00;2,350;;2,350;
14.1. 14:00:00;2,400;;2,400;
14.1. 15:00:00;2,700;;2,700;
14.1. 16:00:00;4,440;;4,440;
14.1. 17:00:00;4,680;;4,680;
14.1. 18:00:00;3,820;;3,820;
14.1. 19:00:00;3,800;;3,800;
